                        id                         | mediaobject_id |       mid        |                                      programurl                                      
 het_marathoninterview_2008_28_december_2007_uur_2 |        7050524 | POMS_VPRO_214267 | http://download.omroep.nl/vpro/het_marathoninterview_2008_28_december_2007_uur_2.mp3
 het_marathoninterview_2008_28_december_2007_uur_2 |       16872413 | POMS_VPRO_056031 | http://download.omroep.nl/vpro/het_marathoninterview_2008_28_december_2007_uur_2.mp3
 36898474                                          |       17606556 | POMS_VPRO_070683 | http://download.omroep.nl/vpro/36898474.mp3
 37695430                                          |       16876243 | POMS_VPRO_056462 | http://download.omroep.nl/vpro/37695430.mp3
 35713253                                          |        7091036 | POMS_VPRO_213377 | http://download.omroep.nl/vpro/35713253.mp3
 39868883                                          |       16872089 | POMS_VPRO_055990 | http://download.omroep.nl/vpro/39868883.mp3
 39859533                                          |       16875496 | POMS_VPRO_056377 | http://download.omroep.nl/vpro/39859533.mp3
 39588623                                          |       16876016 | POMS_VPRO_056435 | http://download.omroep.nl/vpro/39588623.mp3
 39588486                                          |        7114209 | POMS_VPRO_212062 | http://download.omroep.nl/vpro/39588486.mp3
 39588486                                          |       16876079 | POMS_VPRO_056442 | http://download.omroep.nl/vpro/39588486.mp3
 42180536                                          |       16874308 | POMS_VPRO_056212 | http://download.omroep.nl/vpro/42180536.mp3
 42179979                                          |        7084846 | POMS_VPRO_213629 | http://download.omroep.nl/vpro/42179979.mp3
 42179979                                          |       16874379 | POMS_VPRO_056222 | http://download.omroep.nl/vpro/42179979.mp3
 41127663                                          |       16874752 | POMS_VPRO_056275 | http://download.omroep.nl/vpro/41127663.mp3
 42174051                                          |        7084761 | POMS_VPRO_213623 | http://download.omroep.nl/vpro/42174051.mp3
 42174051                                          |       16874414 | POMS_VPRO_056227 | http://download.omroep.nl/vpro/42174051.mp3
 41579231                                          |        7091215 | POMS_VPRO_213362 | http://download.omroep.nl/vpro/41579231.mp3
 41579231                                          |       16875628 | POMS_VPRO_056391 | http://download.omroep.nl/vpro/41579231.mp3
 42205154                                          |       16873256 | POMS_VPRO_056093 | http://download.omroep.nl/vpro/42205154.mp3
 41137552                                          |        7033934 | POMS_VPRO_214558 | http://download.omroep.nl/vpro/41137552.mp3
 41137552                                          |       16874981 | POMS_VPRO_056307 | http://download.omroep.nl/vpro/41137552.mp3
 42198754                                          |       16873837 | POMS_VPRO_056145 | http://download.omroep.nl/vpro/42198754.mp3
 36626964                                          |       19764216 | POMS_VPRO_106247 | http://download.omroep.nl/vpro/36626964.mp3
 42214210                                          |       16872795 | POMS_VPRO_056063 | http://download.omroep.nl/vpro/42214210.mp3
 Michael_Rand_uur_1                                |                |                  | 
 41135763                                          |       16875058 | POMS_VPRO_056318 | http://download.omroep.nl/vpro/41135763.mp3
 42195509                                          |       16873977 | POMS_VPRO_056165 | http://download.omroep.nl/vpro/42195509.mp3
 41204717                                          |       16871991 | POMS_VPRO_055976 | http://download.omroep.nl/vpro/41204717.mp3
 42198731                                          |       16873865 | POMS_VPRO_056149 | http://download.omroep.nl/vpro/42198731.mp3
 42173134                                          |        7085527 | POMS_VPRO_200490 | http://download.omroep.nl/vpro/42173134.mp3
 42173134                                          |       16874563 | POMS_VPRO_056248 | http://download.omroep.nl/vpro/42173134.mp3
 39859549                                          |       16875480 | POMS_VPRO_056375 | http://download.omroep.nl/vpro/39859549.mp3
 42201803                                          |       16873426 | POMS_VPRO_056116 | http://download.omroep.nl/vpro/42201803.mp3
 35388235                                          |        7033316 | POMS_VPRO_214536 | http://download.omroep.nl/vpro/35388235.mp3
 35388235                                          |       16874119 | POMS_VPRO_056185 | http://download.omroep.nl/vpro/35388235.mp3
 42205122                                          |       16873277 | POMS_VPRO_056096 | http://download.omroep.nl/vpro/42205122.mp3
